cycle,range_bin,doppler_bin,output_hex
2628945000,18,6,ffd6fe20
2628955000,18,7,00350092
2628965000,18,8,001600bc
2628975000,18,9,00f50078
2628985000,18,10,fe3aff2c
2628995000,18,11,0222006c
2629005000,18,12,fd300018
2629015000,18,13,0268fff5
2629025000,18,14,feeaffb6
2629035000,18,15,007b0022
2630915000,18,16,fff10021
2630925000,18,17,007fffae
2630935000,18,18,ff570067
2630945000,18,19,0041ffd0
2630955000,18,20,ff740092
2630965000,18,21,00b4ffda
2630975000,18,22,ffa90091
2630985000,18,23,fe07ff64
2630995000,18,24,02d3ffd7
2631005000,18,25,fe490026
2631015000,18,26,00190027
2631025000,18,27,ff5f0026
2631035000,18,28,00b8ff0e
2631045000,18,29,0080001a
2631055000,18,30,ffc700e9
2631065000,18,31,ffadff5e
2632945000,19,0,ffceffba
2632955000,19,1,001e0032
2632965000,19,2,ffa9ff41
2632975000,19,3,007c011a
2632985000,19,4,0038fee6
2632995000,19,5,ff5001e0
2633005000,19,6,0027fd38
2633015000,19,7,009100af
2633025000,19,8,ff4e0218
2633035000,19,9,ffbaff40
2633045000,19,10,00b9ffb1
2633055000,19,11,ff56fefe
2633065000,19,12,002c0170
2633075000,19,13,0058ff8a
2633085000,19,14,ff7fff2e
2633095000,19,15,009500dd
2634975000,19,16,ffda0000
2634985000,19,17,00170018
2634995000,19,18,00160000
2635005000,19,19,0073ffe6
2635015000,19,20,fe44ffdc
2635025000,19,21,028a004e
2635035000,19,22,fe3900c5
2635045000,19,23,ffb5fe7f
2635055000,19,24,01b4011a
2635065000,19,25,fef3ffe2
2635075000,19,26,001afffe
2635085000,19,27,fec5ff5a
2635095000,19,28,016e0036
2635105000,19,29,fffc0010
2635115000,19,30,ffe700c1
2635125000,19,31,ffc3ff69
2637005000,20,0,ffedffcb
2637015000,20,1,0039ffdd
2637025000,20,2,ff8300c9
2637035000,20,3,001afeb4
2637045000,20,4,011c022f
2637055000,20,5,fdf9feaf
2637065000,20,6,0072fe4a
2637075000,20,7,01b301b1
2637085000,20,8,ffbb0049
2637095000,20,9,fe77ff6f
2637105000,20,10,0099ffd1
2637115000,20,11,01260068
2637125000,20,12,fe5cff69
2637135000,20,13,013f009d
2637145000,20,14,ff3affb8
2637155000,20,15,003d0053
2639035000,20,16,ffffffbc
2639045000,20,17,ff8d005f
2639055000,20,18,00dcffd5
2639065000,20,19,ff2dffda
2639075000,20,20,004a0004
2639085000,20,21,fff3ff9d
2639095000,20,22,00ad0128
2639105000,20,23,fe28fe9d
2639115000,20,24,0245ff80
2639125000,20,25,0031006d
2639135000,20,26,ff42ffab
2639145000,20,27,00c10136
2639155000,20,28,fffaff8c
